author,text,time,likes,reply_count
@wcnbba,好久没看到你更新视频了😂,12 hours ago,1,0
@urbangreensmy4947,Ai 身为一个工具的热度感觉是快瓶颈了，不是特别看好。黄金感觉倒是没有什么掉的理由,11 hours ago,1,0
@yen-tinglai8047,USD rebound caused pain trading,11 hours ago,0,0
@leung4033,讲国家债务那期被约谈了吧？城投债？,10 hours ago,0,0
@hscruli9541,富途这段时间狂打广告啊,10 hours ago,0,0
@david415de,世界贸易地区话，经济必然向下。只有美国开启QE，世界趋于和平，才会带来通胀。黄金是乱世之定海神针，必然跑赢通胀。5000肯定没有问题,10 hours ago,0,0
@KaikiTang,小Lin你挂富途和momo广告，我们大陆观众也只能看看，想开也开不了，上不了车了😂😂,9 hours ago,0,0
@Micheal-2012,"小Lin小Lin, 我看moomoo如果自己注册的话，入金5w刀能够有1000刀的奖励，如果通过你的链接注册的话，高于5k刀入金还有递进的奖励吗？",8 hours ago,0,0
@Jonathanzhang77,美股走势会如何，可否开一期❤❤,5 hours ago,0,0
@loochzehau1149,美元贬值加上关税，就通货膨胀咯。懂王要利率低，又要美元强。就像他的那个光头经济顾问的建议一样，很矛盾。,4 hours ago,0,0
@shangdaming8408,小lin你说实话，你跟靳东是什么关系？,3 hours ago,0,0
@自然醒-b9j, @leung4033 没有吧 之前看在线下讲演来着 那期其实讲的太浅了😂,3 hours ago,0,0
@leung4033, @自然醒-b9j 视频b站下架了 不知道有没有被约谈,1 hour ago,0,0
@余仕崴,Lindsay美人，我想要得到妳😍,17 minutes ago,0,0
@jiachenglee4789,小Lin女神，招频道编辑人员吗?,11 minutes ago,0,0
@郑思齐思,我老婆出轨我哥们，录了23部视频，内页自已拿把，让他们俩出名呀,13 hours ago,10,0
@HuuPhucCao-o4k, @郑思齐思  下好了正在看，好漂亮,13 hours ago,3,0
@bian88888,​ @郑思齐思 别信，他是在慢手极速版拉新,11 hours ago,10,0
@ifrs1774, @bian88888  他們兩個都是 一搭一唱,10 hours ago,6,0
@raywlau, @郑思齐思  搞好了已经，快举报删除吧,10 hours ago,1,0
@郑思齐思,我老婆出轨我哥们，录了23部视频，内页自已拿把，让他们俩出名呀,13 hours ago,1,0
@HuuPhucCao-o4k, @郑思齐思  下好了正在看，好漂亮,13 hours ago,0,0
@Hank1080-z5i, @郑思齐思  你们这些网军反串能不能正常点,10 hours ago,1,0
@璃心易碎-璃霜,但粉絲量(像訂閱數 三連數) 不會減少呀 哈哈哈,13 hours ago,6,0
@郑思齐思,我老婆出轨我哥们，录了23部视频，内页自已拿把，让他们俩出名呀,13 hours ago,0,0
@auguscyzcrypto,不過下跌比較少人會特別退訂 可能看觀看數比較準確,12 hours ago,1,0
@leung4033,要在b站引流了,11 hours ago,0,0
@bian88888,​ @郑思齐思 谁信谁上面有问题，他让你下慢手极速版,11 hours ago,1,0
@chemokineimmu7068,相关性要算p value 和sensitivity analysis. 这图也就是逗个乐,10 hours ago,1,0
@xiangyuli9117,结论 小Lin最近分手了,3 hours ago,1,0
@jtjslenovo, @xiangyuli9117  哈哈，是不是粉絲的機會又來啦？,2 hours ago,0,0
@郑思齐思,我老婆出轨我哥们，录了23部视频，内页自已拿把，让他们俩出名呀,13 hours ago,0,0
@HuuPhucCao-o4k, @郑思齐思  下好了正在看，好漂亮,13 hours ago,0,0
@yunhao-yd9rb, @郑思齐思  太假了哥们儿🤣,11 hours ago,1,0
@单滔,什么书？可以推荐一下吗,13 hours ago,2,0
@606hsyp, @单滔 时势,13 hours ago,0,0
@weisinchong4507,在那可以买到？谢谢,13 hours ago,0,0
@陆军-g5z,我也买了 😊,9 hours ago,0,0
@梁墩-s3h,她还出书了呀！真厉害,4 hours ago,0,0
@祝以諾,這個班主任的比喻真的很貼切,13 hours ago,14,0
@ffrank2229,感謝小林 總能把難的東西講得淺顯易懂😊,3 hours ago,2,0
@Retired734,小林太厉害、一说就通 🎉❤、加油👏,13 hours ago,9,0
@溫俊維-k5t,感謝小Lin 適時分析，其實外資要對冲匯率(美元下跌)風險，除外匯期貨、遠期或掉期市場，也可以去買進穩定幣、短期美債或黃金。只要美元信用仍在，沒發生流動性危機，那麼美股、大宗商品定價權的遊戲就仍可持續。,13 hours ago,8,0
@jimmyf.x.9526,又让我很轻松愉快的看懂了🎉😊,12 hours ago,7,0
@forreal1199,就喜欢看你的影片，虽然很多看不懂，但不影响你的很有魅力❤,8 hours ago,4,0
@KJ-pc2nt,看到更新馬上點進來，就喜歡看總經,13 hours ago,33,0
@wilberthsu3398,我是一路笑著看完這期的，有內涵又娛樂，佩服小LIN的功力,11 hours ago,3,0
@UncleGo,我真的很喜欢她的幽默感！,12 hours ago,18,0
@sugarcd0101,太爽啦 無限輸出🎉,14 hours ago,22,0
@letgotothemoon8174,One of the best Youtuber who talk so much sense,13 hours ago,10,0
@morewarren,小林老師最後那30秒說的比喻真是妙❤,8 hours ago,3,0
@Antifragile9041,到精緻的諧音梗先停下來按個讚,10 hours ago,6,0
@rp4640Onenorth,這最後一個例子真是發人深省,13 hours ago,9,0
@jameslebron8681,每次看到小lin更新都好兴奋期待😃,13 hours ago,5,0
@jiugehua,不负责任的财政赤字，总债务不断上升，就是不断伸手向全世界掠夺的表现！,13 hours ago,37,0
@shanfengliu1800,1:59 小林节目是我的最爱,12 hours ago,6,0
@RizzoYuen,記得以前訂閱，是因為閣下能夠利用自身經驗把資訊融會貫通，盡可能用顯淺的語言讓我們理解複雜而專業的金融關係，心思花在什麼地方，觀眾們是感受得到的。不在意是否風趣，不是因為幽默。,8 hours ago,3,0
@BustRush,我觉得你这个视频录早了，今晚你还得录一期！,12 hours ago,54,0
@杜尚别-r9h,lin王更新了，太棒了，赶快看看，好决定明天开盘怎么操作,13 hours ago,3,0
@aronyang,"""只要美元信用仍在""... 哈 .. 美元本質上早破產了，信用來自""你""的錢包。",11 hours ago,1,0
@beni_gor1491,"你說得對，其實美元依然強勢，信用也是世界貨幣之首。道理很簡單，如果一個政府信用下降經濟下滑的話，根本沒一個國家能不崩，除非像中國那種強制結匯制度貨幣。
像樓上那種只有立場沒有知識的根本不會理解。政府和貨幣沒有信用，外資就會撤離，投資會萎縮，你猜這到底是美國還是哪裡？😂",5 hours ago,0,0
@wcnbba,我也是😂,11 hours ago,0,0
@小鬥-h7c,+1,9 hours ago,0,0
@郑思齐思,我老婆出轨我哥们，录了23部视频，内页自已拿把，让他们俩出名呀,13 hours ago,0,0
@HuuPhucCao-o4k, @郑思齐思  下好了正在看，好漂亮,13 hours ago,0,0
@kimi_nosei,但美國的消費能力確實支撐多數國家的各產業,12 hours ago,4,0
@sweetlee377,财政赤字的原因就是美元贬值，美元贬值的原因就是美国生产力下滑，生产力下滑的原因是美元贬值，美国陷入了死循环了，死循环的原因其实很简单，美国就是一个次贷结构国家，联储是总债主，犹太人和资本借联储的钱贷给美国政府和公司，农民，层层加息，层层刮油导致的。川普要求联储降息不是出于什么好心，他只是想让自己所在的中间阶层再多赚点，呵呵呵。08年美国的两房基金和社保其实就破产了，美国真正的货币财富就是这两个基金，已经在08年被美国资本掏空了，这些年不过就是勉强续命，资本加大了掏空的力度罢了，这两个被完全掏空，就是usb时代了，美国不是一个国家，也不在乎换一个名字的，外来的和尚没有一个真心念经的,10 hours ago,2,0
@ccczqqq,怎麼說！,8 hours ago,0,0
@lokalin2723,稀土,6 hours ago,0,0
